Wall time,Step,Value
1592367694.8133693,0,0.3927574157714844
1592367818.706775,1,0.2889103889465332
1592367913.2637966,2,0.25428512692451477
1592368007.938376,3,0.24583245813846588
1592368103.390698,4,0.24031005799770355
1592368198.9280186,5,0.23300515115261078
1592368294.4039001,6,0.23808540403842926
1592368390.1655233,7,0.2281084656715393
1592368485.9303787,8,0.2108852118253708
1592368582.0146158,9,0.2301947921514511
1592368678.1392667,10,0.22348551452159882
1592368774.9191046,11,0.19551672041416168
1592368871.0314019,12,0.22994762659072876
1592368967.2770174,13,0.19857285916805267
1592369064.0243468,14,0.21035534143447876
1592369160.5811155,15,0.21409353613853455
1592369257.1251774,16,0.20206481218338013
1592369353.6942277,17,0.2017865926027298
1592369450.128958,18,0.2104421854019165
1592369546.5326445,19,0.2174617052078247
1592369642.6258426,20,0.20300723612308502
1592369739.1720936,21,0.21120715141296387
1592369835.4669042,22,0.22334803640842438
1592369932.0810273,23,0.21338827908039093
1592370028.4067461,24,0.1885274201631546
1592370124.8194366,25,0.19229257106781006
1592370221.5264254,26,0.20543888211250305
1592370317.930541,27,0.22655819356441498
1592370414.6341498,28,0.19487471878528595
1592370511.236316,29,0.1881130039691925
1592370608.1797347,30,0.22853828966617584
1592370704.8758147,31,0.1991650015115738
1592370801.3237562,32,0.20968444645404816
1592370897.685656,33,0.21206560730934143
1592370994.2462533,34,0.20048588514328003
1592371091.0185907,35,0.20952728390693665
1592371187.4991224,36,0.1830635815858841
1592371283.7850194,37,0.20866461098194122
1592371380.5033662,38,0.19955453276634216
1592371476.9478538,39,0.18706779181957245
1592371573.4941356,40,0.1711563766002655
1592371670.0636022,41,0.18308579921722412
1592371766.4588733,42,0.2175794392824173
1592371863.0551317,43,0.19811688363552094
1592371959.8922317,44,0.20222227275371552
1592372056.288523,45,0.192190483212471
1592372152.8685286,46,0.2059628665447235
1592372249.5017657,47,0.19645848870277405
1592372345.872428,48,0.18633104860782623
1592372442.5985918,49,0.18889573216438293
1592372539.1673722,50,0.1959744244813919
1592372635.6618483,51,0.17277958989143372
1592372732.53895,52,0.18542280793190002
1592372828.9813101,53,0.1977672278881073
1592372925.554496,54,0.21223193407058716
1592373022.2343783,55,0.21050918102264404
1592373118.9680858,56,0.18244822323322296
1592373215.7083666,57,0.18314442038536072
1592373312.121286,58,0.20200078189373016
1592373408.5159962,59,0.19573350250720978
1592373505.026349,60,0.20309343934059143
1592373601.51531,61,0.1850862056016922
1592373698.0912232,62,0.202064648270607
1592373794.2548516,63,0.19439958035945892
1592373891.0049303,64,0.190896138548851
1592373987.5499632,65,0.19008691608905792
1592374084.1472814,66,0.18692001700401306
1592374180.7687168,67,0.1877456158399582
1592374277.3916008,68,0.21521298587322235
1592374373.8570144,69,0.2135576754808426
1592374470.417758,70,0.18401092290878296
1592374567.2666335,71,0.1876126527786255
1592374664.1842701,72,0.20012392103672028
1592374760.532071,73,0.16723468899726868
1592374856.6720781,74,0.19563840329647064
1592374953.4093597,75,0.17076601088047028
1592375050.1377773,76,0.211872398853302
1592375146.6719792,77,0.20097222924232483
1592375243.3921595,78,0.20709170401096344
1592375339.9613807,79,0.18391206860542297
1592375436.487753,80,0.17601355910301208
1592375533.0432951,81,0.17052887380123138
1592375629.2914789,82,0.18436752259731293
1592375725.8548384,83,0.19906653463840485
1592375822.2433124,84,0.20203012228012085
1592375919.0613217,85,0.17758338153362274
1592376015.7493243,86,0.19474045932292938
1592376112.3850818,87,0.19605927169322968
1592376209.238315,88,0.19743171334266663
1592376305.8988168,89,0.18095356225967407
1592376402.216758,90,0.20102567970752716
1592376498.7258506,91,0.18853086233139038
1592376595.6219757,92,0.1970028430223465
1592376692.3397317,93,0.17404642701148987
1592376788.9423363,94,0.18511147797107697
1592376885.431191,95,0.1902989149093628
1592376982.0898404,96,0.1843702495098114
1592377078.691209,97,0.1883794218301773
1592377175.3353548,98,0.18808773159980774
1592377271.6321719,99,0.1792394518852234
1592377428.1732273,100,0.16605807840824127
1592377549.6257913,101,0.18783827126026154
1592377671.3777547,102,0.17600958049297333
1592377793.3690069,103,0.18781545758247375
1592377915.159059,104,0.1820148080587387
1592378037.00796,105,0.18786220252513885
1592378158.822861,106,0.18714159727096558
1592378280.8470366,107,0.1794922798871994
1592378403.0052228,108,0.1729954332113266
1592378524.746435,109,0.1801086813211441
1592378646.6812656,110,0.1845911741256714
1592378768.7414768,111,0.1586809903383255
1592378890.6230164,112,0.1810102015733719
1592379012.6532242,113,0.16374826431274414
1592379134.6182716,114,0.17716436088085175
1592379256.6201005,115,0.18458342552185059
1592379378.4817824,116,0.17569813132286072
1592379500.3843932,117,0.15989845991134644
1592379622.165518,118,0.17062166333198547
1592379744.121327,119,0.17379677295684814
1592379866.040037,120,0.17003647983074188
1592379987.8418028,121,0.1763293296098709
1592380109.7795212,122,0.18163694441318512
1592380231.552936,123,0.1738814115524292
1592380353.3453615,124,0.16512638330459595
1592380475.3132992,125,0.16341932117938995
1592380597.2667325,126,0.1756337732076645
1592380719.3240602,127,0.18609724938869476
1592380841.2814958,128,0.16619674861431122
1592380963.031496,129,0.16378304362297058
1592381084.8885674,130,0.1843826025724411
1592381206.8615599,131,0.16570159792900085
